sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
280,sequential,sequential,18,400,192,UP,0.0359,1.0,0.0,1.0,166,166,166,166,18.1,18.1,18.1,18.1,FCFS
281,sequential,all_at_once,49,200,184,DOWN,0.2015,1.0,0.1414,0.975,62,62,62,62,6644.98,6644.98,6644.98,6644.98,FCFS
282,sequential,bursty,33,200,113,DOWN,0.1378,1.0,0.0675,1.0,33,33,259,398,58.27,58.27,474.42,8138.9,FCFS
283,sequential,sequential,44,200,79,DOWN,0.1803,1.0,0.1494,0.9721,73,73,231,368,88.71,88.71,88.71,10591.88,FCFS
284,sequential,bursty,46,300,236,DOWN,0.1257,1.0,0.0843,0.9911,102,57,57,57,99.22,8416.53,8416.53,8416.53,FCFS
285,sequential,continuous,43,300,82,UP,0.1174,1.0,0.1234,0.981,235,193,193,193,2195.0,7938.31,7938.31,7938.31,FCFS
286,sequential,continuous,26,150,123,DOWN,0.1408,1.0,0.1131,0.984,111,86,86,86,800.08,2820.36,2820.36,2820.36,FCFS
287,sequential,sequential,43,150,72,UP,0.2349,1.0,0.1512,0.9714,50,50,162,297,88.64,126.3,7980.21,9371.28,FCFS
288,sequential,all_at_once,38,400,75,DOWN,0.0761,1.0,0.1507,0.9676,148,148,298,686,4011.61,4011.61,4011.61,4011.61,FCFS
289,sequential,bursty,38,250,238,UP,0.1242,1.0,0.2079,0.9459,230,230,252,305,250.17,250.17,301.88,7934.32,FCFS
290,sequential,bursty,35,400,191,UP,0.0714,1.0,0.097,0.9882,93,93,93,93,103.44,103.44,103.44,103.44,FCFS
291,sequential,all_at_once,33,200,7,DOWN,0.1349,1.0,0.1732,0.9625,117,117,131,313,3003.45,3003.45,3003.45,3003.45,FCFS
292,sequential,random,31,200,35,UP,0.126,1.0,0.1461,0.9733,169,139,139,139,13.95,4239.04,4239.04,4239.04,FCFS
293,sequential,all_at_once,18,300,229,UP,0.048,1.0,0.1372,0.9765,169,152,292,463,886.17,886.17,886.17,886.17,SSTF
294,sequential,all_at_once,26,200,38,DOWN,0.1055,1.0,0.196,0.952,73,48,124,375,1848.59,1848.59,1848.59,1848.59,SSTF
295,sequential,sequential,25,250,31,UP,0.0836,1.0,0.1348,0.9833,63,38,38,38,31.2,2484.88,2484.88,2484.88,FCFS
296,sequential,all_at_once,50,400,234,UP,0.1027,1.0,0.1143,0.9837,184,135,465,712,6994.37,6994.37,6994.37,6994.37,SSTF
297,sequential,sequential,48,400,8,UP,0.0983,1.0,0.1167,0.983,287,287,287,287,121.4,121.4,121.4,121.4,FCFS
298,sequential,continuous,37,150,90,UP,0.2018,1.0,0.1633,0.9667,75,39,157,295,1574.38,5086.36,5784.93,1574.38,FCFS
299,sequential,all_at_once,21,150,134,DOWN,0.1128,1.0,0.0,1.0,30,30,278,298,1241.99,1288.28,2837.86,3042.72,FCFS
300,sequential,bursty,44,400,259,UP,0.0901,1.0,0.0,1.0,280,237,517,604,351.34,9455.26,12928.34,1015.98,FCFS
301,sequential,all_at_once,12,300,191,DOWN,0.0313,1.0,0.0,1.0,145,145,145,145,403.65,403.65,403.65,403.65,FCFS
302,sequential,continuous,14,250,61,UP,0.0445,1.0,0.2219,0.9385,75,75,75,75,218.06,218.06,218.06,218.06,FCFS
303,sequential,continuous,31,200,11,DOWN,0.126,1.0,0.1033,0.9867,76,76,98,352,1159.8,1159.8,1159.8,4846.0,FCFS
304,sequential,sequential,21,300,245,UP,0.0562,1.0,0.1789,0.96,184,184,292,434,19.78,19.78,19.78,3732.77,FCFS
305,sequential,all_at_once,39,150,75,UP,0.2132,1.0,0.1589,0.9684,67,67,67,67,4218.87,4218.87,4218.87,4218.87,FCFS
306,sequential,continuous,12,250,238,DOWN,0.0347,1.0,0.1265,0.9636,46,36,36,36,169.97,615.8,615.8,615.8,FCFS
307,sequential,sequential,44,300,129,UP,0.1201,1.0,0.0863,0.9907,48,48,388,593,101.79,101.79,101.79,13107.3,FCFS
308,sequential,all_at_once,32,150,84,DOWN,0.1742,1.0,0.1437,0.9742,97,66,66,66,2832.48,2832.48,2832.48,2832.48,SSTF
309,sequential,random,37,300,225,DOWN,0.1007,1.0,0.1333,0.9778,148,148,148,148,16.62,16.62,16.62,16.62,FCFS
310,sequential,all_at_once,41,300,188,DOWN,0.1118,1.0,0.0,1.0,167,127,127,127,4742.14,4742.14,4742.14,4742.14,SSTF
311,sequential,continuous,37,150,110,UP,0.2019,1.0,0.0,1.0,66,66,84,297,1663.53,3701.83,3772.02,4583.11,FCFS
312,sequential,random,30,150,20,DOWN,0.1629,1.0,0.0,1.0,46,46,86,281,79.23,79.23,79.23,5362.09,FCFS
313,sequential,sequential,38,400,367,DOWN,0.0776,1.0,0.093,0.9892,234,197,197,197,73.33,6836.71,6836.71,6836.71,FCFS
314,sequential,random,38,250,114,UP,0.1244,1.0,0.1611,0.9676,63,63,63,63,11.62,11.62,11.62,11.62,FCFS
315,sequential,all_at_once,37,250,163,UP,0.1182,1.0,0.1529,0.9667,36,36,206,497,3780.42,3782.06,4108.66,4784.4,FCFS
